Timestamp,File,Folder,CurrentSizeMB,HistoryVersionsMB,TotalOriginalMB,VersionsFound,PolicyApplied,VersionsDeleted,SpaceSavedMB,FinalSizeMB
"2026-04-06 23:52:25","PBKP-Master MB V101.xlsb","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Daily Report","0.93","25.78","26.71","28","Retention 90 Days","24","22.07","4.64"
"2026-04-06 23:52:26","2 Emerging Leaders PLDP Template .docx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/Evaluation","0.07","0.07","0.15","1","Retention 365 Days","1","0.07","0.07"
"2026-04-06 23:52:26","Selling rate Structure.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.04","0.41","0.44","13","Retention 365 Days","13","0.41","0.04"
"2026-04-06 23:52:28","Rates offer.txt","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.00","0.01","0.01","5","Retention 365 Days","5","0.01","0.00"
"2026-04-06 23:52:28","Infor EzRMS Accor Price Point Setup 2024-2025.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.07","0.07","0.14","1","Retention 365 Days","1","0.07","0.07"
"2026-04-06 23:52:29","Infor EzRMS Company profile not sync to EZRMS 5.12.24.pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.27","0.23","0.51","1","Retention 365 Days","1","0.23","0.27"
"2026-04-06 23:52:29","Forecast reservation expense.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.03","0.07","0.10","3","Retention 365 Days","3","0.07","0.03"
"2026-04-06 23:52:30","Infor EzRMS Company & Agent not sync to EZRMS 23.7.24.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.07","0.14","0.21","2","Retention 365 Days","2","0.14","0.07"
"2026-04-06 23:52:31","OTB & Pick up by CN as od 11.02.25.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.02","0.04","0.07","2","Retention 365 Days","2","0.04","0.02"
"2026-04-06 23:52:31","Infor EzRMS Company not sync to EZRMS 2.9.24..xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.07","0.07","0.13","1","Retention 365 Days","1","0.07","0.07"
"2026-04-06 23:52:32","Performace  OTAs Booking by Country.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.39","0.77","1.16","2","Retention 365 Days","2","0.77","0.39"
"2026-04-06 23:52:32","Infor EzRMS Company & Agent not sync to EZRMS 25.7.24.V.2xlsx.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.12","0.24","0.36","2","Retention 365 Days","2","0.24","0.12"
"2026-04-06 23:52:33","Infor EzRMS Company & Agent not sync to EZRMS 13.6.24.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.06","0.12","0.18","2","Retention 365 Days","2","0.12","0.06"
